date,Trump Ethereum,Trump crypto,Trump Bitcoin,Trump NFT,Trump arrest,Trump election,Trump jobs,Trump stock market,Trump inflation,Trump taxes,Trump tariffs
2024-09-29,1,0,0,0,0,1,2,1,1,2,1
2024-10-06,1,0,0,0,0,1,2,1,1,2,1
2024-10-13,2,0,0,0,0,2,2,1,2,2,2
2024-10-20,2,0,0,0,0,3,3,1,2,3,2
2024-10-27,3,0,0,0,0,5,4,2,3,4,2
2024-11-03,15,0,1,0,0,100,12,9,9,12,13
2024-11-10,9,0,1,0,0,8,6,3,3,5,9
2024-11-17,4,0,0,0,0,2,3,2,1,2,4
2024-11-24,4,0,0,0,0,1,2,1,1,2,12
2024-12-01,4,0,0,0,0,1,2,1,1,2,4
2024-12-08,4,0,0,0,0,1,1,1,1,1,3
2024-12-15,4,0,0,0,0,0,2,1,1,2,2
2024-12-22,2,0,0,0,0,0,1,1,1,2,1
2024-12-29,3,0,0,0,0,0,1,1,1,1,1
2025-01-05,3,0,0,0,0,1,2,1,1,2,2
2025-01-12,8,1,0,0,0,1,2,1,1,4,2
2025-01-19,42,4,2,0,0,2,10,4,4,20,10
2025-01-26,11,1,0,0,0,1,8,3,3,11,28
2025-02-02,16,0,0,0,0,1,6,4,2,8,59
2025-02-09,7,0,0,0,0,1,5,2,3,5,12
2025-02-16,5,0,0,0,0,1,7,2,2,7,7
2025-02-23,8,0,0,0,0,1,6,4,2,7,9
2025-03-02,14,1,1,0,0,1,6,9,2,6,45
2025-03-09,8,0,0,0,0,1,4,13,2,6,22
2025-03-16,4,0,0,0,0,0,3,4,1,3,9
2025-03-23,4,0,0,0,0,1,3,3,1,3,14
2025-03-30,6,0,0,0,0,1,4,19,2,4,100
2025-04-06,10,0,0,0,0,0,4,22,2,4,96
2025-04-13,3,0,0,0,0,0,3,5,1,3,25
2025-04-20,4,0,0,0,0,0,2,5,1,2,20
2025-04-27,4,0,0,0,0,1,3,4,1,3,18
2025-05-04,4,0,0,0,0,0,2,2,1,3,13
2025-05-11,5,0,0,0,0,0,2,2,1,2,13
2025-05-18,4,0,0,0,0,0,2,2,1,4,8
2025-05-25,4,0,0,0,0,0,2,2,1,2,14
2025-06-01,4,0,0,0,0,0,3,2,1,2,7
2025-06-08,4,0,0,0,1,1,3,2,1,2,6
2025-06-15,4,0,0,0,0,1,3,3,1,1,4
2025-06-22,4,0,0,0,0,0,3,2,1,2,4
2025-06-29,3,0,0,0,0,0,3,2,1,5,5
2025-07-06,5,0,0,0,0,0,3,2,1,3,12
2025-07-13,10,1,0,0,0,0,4,3,2,2,10
2025-07-20,11,1,0,0,0,1,4,3,2,2,11
2025-07-27,14,0,0,0,0,1,6,5,2,2,35
2025-08-03,33,0,0,0,0,0,4,3,1,2,16
2025-08-10,100,0,0,0,0,0,3,3,2,2,7
2025-08-17,72,0,0,0,0,0,2,2,1,2,5
2025-08-24,46,0,0,0,0,0,3,2,1,2,9
2025-08-31,30,0,0,0,0,0,5,2,1,2,8
2025-09-07,16,0,0,0,0,0,3,1,1,2,4
2025-09-14,13,0,1,0,0,0,3,2,1,1,3
2025-09-21,17,0,0,0,0,0,3,2,1,2,6
2025-09-28,14,0,0,0,0,0,3,2,1,1,5
